Shapes
------
area = 4346.263530580484	 Triangle@1c6bfb6
area = 1929.6929293404642	 Rectangle@16c0298
area = 7909.052378266373	 Triangle@665b11
area = 133.2436911988126	 Rectangle@9c10f0
area = 5295.401392729246	 Square@1b335a
area = 3742.5571327137486	 Circle@1c08983
area = 3840.8785629400036	 Rectangle@146f0b9
area = 13207.520898246701	 Circle@1056831
area = 3007.7792712507944	 Rectangle@591268
area = 6294.354567463938	 Triangle@1760c31
area = 2379.1465017824385	 Triangle@11de09e
area = 14142.989183816811	 Circle@1b5466c
area = 1144.6057131521302	 Rectangle@1adc1e0
area = 1615.6597801068901	 Square@b357a0
area = 2574.6315535740077	 Rectangle@545af8
area = 767.7996493349868	 Rectangle@185e1b8
area = 2860.6214247493845	 Triangle@669369
area = 25188.805313310007	 Circle@d4d352
area = 1737.6489379798925	 Rectangle@2dc46a
area = 2998.9705614583086	 Triangle@56cf6
area = 7081.034091727689	 Triangle@25f44
area = 3239.095994599113	 Rectangle@985815
area = 609.4614795743977	 Triangle@f0d238
area = 2301.200791707152	 Rectangle@111700c
area = 17694.2813778946	 Circle@1a9fb55
area = 1133.3787529445488	 Circle@1b557c5
area = 2895.41093519867	 Rectangle@1b22819
area = 1963.8830507742534	 Rectangle@1cba933
area = 517.0848895969549	 Circle@1d4940c
area = 2938.5210362715306	 Square@12f00c
area = 1462.114370513238	 Rectangle@70ebf7
area = 128.24288688834733	 Triangle@4643fb
area = 79.44799525606406	 Triangle@113ce8b
area = 1124.2760651980163	 Circle@5ec5b5
area = 8151.333616117979	 Circle@12eab5a
area = 510.6209216170371	 Rectangle@129709f
area = 5860.437429296034	 Circle@9d93e7
area = 1174.4951538393404	 Rectangle@8a852c
area = 1802.2260430825254	 Rectangle@468e9c
area = 8541.938670414855	 Triangle@33b803
area = 661.6635824842604	 Rectangle@9d19c9
